CVE_ID,Package,Current_Version,Latest_Version,CVSS_Score,CVSS_Severity,Grype_Severity,Dep_Type,Depth,Occurrences,Ecosystem,Action,Risk_Level
GHSA-v4hv-rgfq-gp49,@angular/compiler,17.3.12,21.1.4,None,HIGH,high,direct,1,3,npm,"UPGRADE — update from 17.3.12 to 21.1.4",low
GHSA-5gfm-wpxj-wjgq,node-forge,1.3.1,1.3.3,None,HIGH,high,transitive,4,1,npm,"UPGRADE — update from 1.3.1 to 1.3.3",low
CVE-2024-45336,stdlib,go1.20.12,unknown,6.1,MEDIUM,medium,unknown,None,0,unknown,"INVESTIGATE — already on latest version, CVE may be unpatched",medium
CVE-2024-34155,stdlib,go1.20.12,unknown,4.3,MEDIUM,medium,unknown,None,0,unknown,"INVESTIGATE — already on latest version, CVE may be unpatched",medium
GHSA-9gqv-wp59-fq42,http-proxy-middleware,2.0.7,3.0.5,None,MEDIUM,medium,transitive,2,2,npm,"UPGRADE — update from 2.0.7 to 3.0.5",low
GHSA-xxjr-mmjv-4gpg,lodash,4.17.21,4.17.23,None,MEDIUM,medium,transitive,2,2,npm,"UPGRADE — update from 4.17.21 to 4.17.23",low
CVE-2025-60876,busybox,1.37.0-r30,unknown,6.5,MEDIUM,medium,unknown,None,0,alpine,"INVESTIGATE — already on latest version, CVE may be unpatched",medium
GHSA-4v9v-hfq4-rm2v,webpack-dev-server,4.15.1,5.2.3,None,MEDIUM,medium,transitive,2,2,npm,"UPGRADE — update from 4.15.1 to 5.2.3",low
GHSA-5j98-mcp5-4vw2,glob,10.4.5,13.0.3,None,HIGH,high,transitive,2,7,npm,"UPGRADE — update from 10.4.5 to 13.0.3",low
CVE-2025-61723,stdlib,go1.20.12,unknown,7.5,HIGH,high,unknown,None,0,unknown,"INVESTIGATE — already on latest version, CVE may be unpatched",medium
CVE-2024-45341,stdlib,go1.20.12,unknown,6.1,MEDIUM,medium,unknown,None,0,unknown,"INVESTIGATE — already on latest version, CVE may be unpatched",medium
GHSA-cxrh-j4jr-qwg3,undici,6.11.1,7.22.0,None,LOW,low,transitive,2,1,npm,"UPGRADE — update from 6.11.1 to 7.22.0",low
GHSA-65ch-62r8-g69g,node-forge,1.3.1,1.3.3,None,MEDIUM,medium,transitive,4,1,npm,"UPGRADE — update from 1.3.1 to 1.3.3",low
CVE-2025-61725,stdlib,go1.20.12,unknown,7.5,HIGH,high,unknown,None,0,unknown,"INVESTIGATE — already on latest version, CVE may be unpatched",medium
GHSA-52f5-9888-hmc6,tmp,0.0.33,0.2.5,None,LOW,low,transitive,2,2,npm,"UPGRADE — update from 0.0.33 to 0.2.5",low
GHSA-34x7-hfp2-rc4v,tar,6.2.1,7.5.9,None,HIGH,high,transitive,3,3,npm,"UPGRADE — update from 6.2.1 to 7.5.9",low
GHSA-9jgg-88mc-972h,webpack-dev-server,4.15.1,5.2.3,None,MEDIUM,medium,transitive,2,2,npm,"UPGRADE — update from 4.15.1 to 5.2.3",low
CVE-2025-61726,stdlib,go1.20.12,unknown,None,,high,unknown,None,0,unknown,"INVESTIGATE — already on latest version, CVE may be unpatched",medium
GHSA-jrmj-c5cx-3cw6,@angular/compiler,17.3.12,21.1.4,None,HIGH,high,direct,1,3,npm,"UPGRADE — update from 17.3.12 to 21.1.4",low
CVE-2025-47912,stdlib,go1.20.12,unknown,5.3,MEDIUM,medium,unknown,None,0,unknown,"INVESTIGATE — already on latest version, CVE may be unpatched",medium
CVE-2025-58185,stdlib,go1.20.12,unknown,None,,medium,unknown,None,0,unknown,"INVESTIGATE — already on latest version, CVE may be unpatched",medium
GHSA-w7fw-mjwx-w883,qs,6.13.0,6.15.0,None,LOW,low,transitive,3,2,npm,"UPGRADE — update from 6.13.0 to 6.15.0",low
GHSA-73rr-hh4g-fpgx,diff,5.2.0,8.0.3,None,LOW,low,unknown,None,0,npm,"UPGRADE — update from 5.2.0 to 8.0.3",low
CVE-2025-58186,stdlib,go1.20.12,unknown,5.3,MEDIUM,medium,unknown,None,0,unknown,"INVESTIGATE — already on latest version, CVE may be unpatched",medium
CVE-2025-58188,stdlib,go1.20.12,unknown,7.5,HIGH,high,unknown,None,0,unknown,"INVESTIGATE — already on latest version, CVE may be unpatched",medium
CVE-2025-58187,stdlib,go1.20.12,unknown,7.5,HIGH,high,unknown,None,0,unknown,"INVESTIGATE — already on latest version, CVE may be unpatched",medium
CVE-2025-61729,stdlib,go1.20.12,unknown,None,,high,unknown,None,0,unknown,"INVESTIGATE — already on latest version, CVE may be unpatched",medium
CVE-2025-61730,stdlib,go1.20.12,unknown,None,,medium,unknown,None,0,unknown,"INVESTIGATE — already on latest version, CVE may be unpatched",medium
GHSA-r6q2-hw4h-h46w,tar,6.2.1,7.5.9,None,HIGH,high,transitive,3,3,npm,"UPGRADE — update from 6.2.1 to 7.5.9",low
CVE-2025-68121,stdlib,go1.20.12,unknown,None,,critical,unknown,None,0,unknown,"INVESTIGATE — already on latest version, CVE may be unpatched",medium
CVE-2025-61724,stdlib,go1.20.12,unknown,5.3,MEDIUM,medium,unknown,None,0,unknown,"INVESTIGATE — already on latest version, CVE may be unpatched",medium
CVE-2025-47906,stdlib,go1.20.12,unknown,None,,medium,unknown,None,0,unknown,"INVESTIGATE — already on latest version, CVE may be unpatched",medium
GHSA-g9mf-h72j-4rw9,undici,6.11.1,7.22.0,None,MEDIUM,medium,transitive,2,1,npm,"UPGRADE — update from 6.11.1 to 7.22.0",low
GHSA-mh29-5h37-fv8m,js-yaml,3.14.1,4.1.1,None,MEDIUM,medium,transitive,4,2,npm,"UPGRADE — update from 3.14.1 to 4.1.1",low
CVE-2025-61728,stdlib,go1.20.12,unknown,6.5,MEDIUM,medium,unknown,None,0,unknown,"INVESTIGATE — already on latest version, CVE may be unpatched",medium
CVE-2025-47907,stdlib,go1.20.12,unknown,None,,high,unknown,None,0,unknown,"INVESTIGATE — already on latest version, CVE may be unpatched",medium
CVE-2025-22866,stdlib,go1.20.12,unknown,None,,medium,unknown,None,0,unknown,"INVESTIGATE — already on latest version, CVE may be unpatched",medium
CVE-2025-58183,stdlib,go1.20.12,unknown,None,,medium,unknown,None,0,unknown,"INVESTIGATE — already on latest version, CVE may be unpatched",medium
CVE-2025-58189,stdlib,go1.20.12,unknown,None,,medium,unknown,None,0,unknown,"INVESTIGATE — already on latest version, CVE may be unpatched",medium
CVE-2025-4673,stdlib,go1.20.12,unknown,6.8,MEDIUM,medium,unknown,None,0,unknown,"INVESTIGATE — already on latest version, CVE may be unpatched",medium
GHSA-8qq5-rm4j-mr97,tar,6.2.1,7.5.9,None,HIGH,high,transitive,3,3,npm,"UPGRADE — update from 6.2.1 to 7.5.9",low
CVE-2025-61731,stdlib,go1.20.12,unknown,7.8,HIGH,high,unknown,None,0,unknown,"INVESTIGATE — already on latest version, CVE may be unpatched",medium
CVE-2025-61727,stdlib,go1.20.12,unknown,None,,medium,unknown,None,0,unknown,"INVESTIGATE — already on latest version, CVE may be unpatched",medium
GHSA-jqfw-vq24-v9c3,vite,5.4.14,7.3.1,None,LOW,low,transitive,2,2,npm,"UPGRADE — update from 5.4.14 to 7.3.1",low
GHSA-v6h2-p8h4-qcjw,brace-expansion,1.1.11,5.0.2,None,LOW,low,transitive,3,7,npm,"UPGRADE — update from 1.1.11 to 5.0.2",low
CVE-2025-61732,stdlib,go1.20.12,unknown,None,,high,unknown,None,0,unknown,"INVESTIGATE — already on latest version, CVE may be unpatched",medium
CVE-2025-4674,stdlib,go1.20.12,unknown,None,,high,unknown,None,0,unknown,"INVESTIGATE — already on latest version, CVE may be unpatched",medium
CVE-2024-24789,stdlib,go1.20.12,unknown,None,,medium,unknown,None,0,unknown,"INVESTIGATE — already on latest version, CVE may be unpatched",medium
GHSA-38r7-794h-5758,webpack,5.94.0,5.105.2,None,LOW,low,transitive,2,16,npm,"UPGRADE — update from 5.94.0 to 5.105.2",low
GHSA-8fgc-7cc6-rx7x,webpack,5.94.0,5.105.2,None,LOW,low,transitive,2,16,npm,"UPGRADE — update from 5.94.0 to 5.105.2",low
GHSA-76c9-3jph-rj3q,on-headers,1.0.2,1.1.0,None,LOW,low,transitive,4,1,npm,"UPGRADE — update from 1.0.2 to 1.1.0",low
CVE-2025-22873,stdlib,go1.20.12,unknown,None,,low,unknown,None,0,unknown,"INVESTIGATE — already on latest version, CVE may be unpatched",medium
GHSA-67mh-4wv8-2f99,esbuild,0.20.1,0.27.3,None,MEDIUM,medium,transitive,2,2,npm,"UPGRADE — update from 0.20.1 to 0.27.3",low
