ecosystem	name	version	purl	depth	blast_radius
npm	iconv-lite	0.7.2	pkg:npm/iconv-lite@0.7.2	2	2
npm	inherits	2.0.3	pkg:npm/inherits@2.0.3	3	3
npm	inherits	2.0.4	pkg:npm/inherits@2.0.4	3	14
npm	ipaddr.js	1.9.1	pkg:npm/ipaddr.js@1.9.1	3	6
npm	isarray	1.0.0	pkg:npm/isarray@1.0.0	4	4
npm	jschardet	3.1.4	pkg:npm/jschardet@3.1.4	2	2
npm	math-intrinsics	1.1.0	pkg:npm/math-intrinsics@1.1.0	6	13
npm	media-typer	0.3.0	pkg:npm/media-typer@0.3.0	3	8
npm	memory-pager	1.5.0	pkg:npm/memory-pager@1.5.0	4	4
npm	merge-descriptors	1.0.3	pkg:npm/merge-descriptors@1.0.3	2	5
npm	methods	1.1.2	pkg:npm/methods@1.1.2	2	5
npm	mime-db	1.52.0	pkg:npm/mime-db@1.52.0	4	10
npm	mime-db	1.54.0	pkg:npm/mime-db@1.54.0	3	3
npm	mime-types	2.1.35	pkg:npm/mime-types@2.1.35	3	9
npm	mime	1.6.0	pkg:npm/mime@1.6.0	3	7
npm	moment-timezone	0.5.48	pkg:npm/moment-timezone@0.5.48	1	1
npm	moment	2.30.1	pkg:npm/moment@2.30.1	1	2
npm	mongo-sanitize	1.1.0	pkg:npm/mongo-sanitize@1.1.0	1	1
npm	mongodb	3.7.4	pkg:npm/mongodb@3.7.4	1	1
npm	ms	2.0.0	pkg:npm/ms@2.0.0	2	13
npm	ms	2.1.3	pkg:npm/ms@2.1.3	3	7
npm	negotiator	0.6.3	pkg:npm/negotiator@0.6.3	3	6
npm	negotiator	0.6.4	pkg:npm/negotiator@0.6.4	2	2
npm	nodemailer	6.10.1	pkg:npm/nodemailer@6.10.1	1	1
npm	object-assign	4.1.1	pkg:npm/object-assign@4.1.1	2	2
npm	object-inspect	1.13.4	pkg:npm/object-inspect@1.13.4	4	12
npm	on-finished	2.3.0	pkg:npm/on-finished@2.3.0	2	2
npm	on-finished	2.4.1	pkg:npm/on-finished@2.4.1	2	10
npm	on-headers	1.1.0	pkg:npm/on-headers@1.1.0	2	3
npm	optional-require	1.1.10	pkg:npm/optional-require@1.1.10	2	2
npm	packet-reader	1.0.0	pkg:npm/packet-reader@1.0.0	3	3
npm	parseurl	1.3.3	pkg:npm/parseurl@1.3.3	2	7
npm	path-to-regexp	0.1.12	pkg:npm/path-to-regexp@0.1.12	2	5
npm	pg-cloudflare	1.3.0	pkg:npm/pg-cloudflare@1.3.0	3	11
npm	pg-connection-string	2.11.0	pkg:npm/pg-connection-string@2.11.0	3	11
npm	pg-cursor	2.17.0	pkg:npm/pg-cursor@2.17.0	1	3
npm	pg-int8	1.0.1	pkg:npm/pg-int8@1.0.1	3	15
npm	pg-minify	1.8.0	pkg:npm/pg-minify@1.8.0	2	2
npm	pg-native	UNKNOWN	pkg:npm/pg-native	3	11
npm	pg-pool	3.11.0	pkg:npm/pg-pool@3.11.0	3	11
npm	pg-pool	3.6.1	pkg:npm/pg-pool@3.6.1	2	3
npm	pg-promise	11.15.0	pkg:npm/pg-promise@11.15.0	1	1
npm	pg-protocol	1.11.0	pkg:npm/pg-protocol@1.11.0	2	14
npm	pg-query-stream	4.10.3	pkg:npm/pg-query-stream@4.10.3	2	2
npm	pg-types	2.2.0	pkg:npm/pg-types@2.2.0	2	14
npm	pg	8.11.3	pkg:npm/pg@8.11.3	2	2
npm	pg	8.16.3	pkg:npm/pg@8.16.3	2	11
npm	pg	8.18.0	pkg:npm/pg@8.18.0	2	11
npm	pgpass	1.0.5	pkg:npm/pgpass@1.0.5	3	11
npm	postgres-array	2.0.0	pkg:npm/postgres-array@2.0.0	3	15
npm	postgres-bytea	1.0.1	pkg:npm/postgres-bytea@1.0.1	3	15
npm	postgres-date	1.0.7	pkg:npm/postgres-date@1.0.7	3	15
npm	postgres-interval	1.2.0	pkg:npm/postgres-interval@1.2.0	3	15
npm	postgres-migrations	5.3.0	pkg:npm/postgres-migrations@5.3.0	2	2
npm	process-nextick-args	2.0.1	pkg:npm/process-nextick-args@2.0.1	4	4
npm	proxy-addr	2.0.7	pkg:npm/proxy-addr@2.0.7	2	5
npm	qs	6.14.1	pkg:npm/qs@6.14.1	2	7
npm	range-parser	1.2.1	pkg:npm/range-parser@1.2.1	2	7
npm	raw-body	2.5.3	pkg:npm/raw-body@2.5.3	2	7
npm	readable-stream	2.3.8	pkg:npm/readable-stream@2.3.8	3	3
npm	require-at	1.0.6	pkg:npm/require-at@1.0.6	3	3
npm	safe-buffer	5.1.2	pkg:npm/safe-buffer@5.1.2	4	5
npm	safe-buffer	5.2.1	pkg:npm/safe-buffer@5.2.1	2	9
npm	safe-compare	1.1.4	pkg:npm/safe-compare@1.1.4	1	1
npm	safer-buffer	2.1.2	pkg:npm/safer-buffer@2.1.2	3	11
npm	saslprep	1.0.3	pkg:npm/saslprep@1.0.3	2	2
npm	send	0.19.2	pkg:npm/send@0.19.2	2	6
npm	serve-static	1.16.3	pkg:npm/serve-static@1.16.3	2	5
npm	setprototypeof	1.1.0	pkg:npm/setprototypeof@1.1.0	3	3
npm	setprototypeof	1.2.0	pkg:npm/setprototypeof@1.2.0	2	11
npm	side-channel-list	1.0.0	pkg:npm/side-channel-list@1.0.0	4	9
npm	side-channel-map	1.0.1	pkg:npm/side-channel-map@1.0.1	4	10
npm	side-channel-weakmap	1.0.2	pkg:npm/side-channel-weakmap@1.0.2	4	9
npm	side-channel	1.1.0	pkg:npm/side-channel@1.1.0	3	8
npm	sparse-bitfield	3.0.3	pkg:npm/sparse-bitfield@3.0.3	3	3
npm	spex	3.4.1	pkg:npm/spex@3.4.1	2	2
npm	split2	4.2.0	pkg:npm/split2@4.2.0	4	12
npm	sql-template-strings	2.2.2	pkg:npm/sql-template-strings@2.2.2	3	3
npm	ssl-root-cas	1.3.1	pkg:npm/ssl-root-cas@1.3.1	1	1
npm	statuses	1.5.0	pkg:npm/statuses@1.5.0	3	3
npm	statuses	2.0.2	pkg:npm/statuses@2.0.2	2	12
npm	string_decoder	1.1.1	pkg:npm/string_decoder@1.1.1	4	4
npm	supports-color	7.2.0	pkg:npm/supports-color@7.2.0	3	3
npm	toidentifier	1.0.1	pkg:npm/toidentifier@1.0.1	3	11
npm	type-is	1.6.18	pkg:npm/type-is@1.6.18	2	7
npm	typescript	5.9.3	pkg:npm/typescript@5.9.3	1	1
npm	undici-types	6.21.0	pkg:npm/undici-types@6.21.0	2	14
npm	unpipe	1.0.0	pkg:npm/unpipe@1.0.0	2	9
npm	util-deprecate	1.0.2	pkg:npm/util-deprecate@1.0.2	4	4
npm	utils-merge	1.0.1	pkg:npm/utils-merge@1.0.1	2	5
npm	uuid	9.0.1	pkg:npm/uuid@9.0.1	1	1
npm	vary	1.1.2	pkg:npm/vary@1.1.2	2	7
npm	xtend	4.0.2	pkg:npm/xtend@4.0.2	4	16
