CVE_ID,Package,Current_Version,Latest_Version,CVSS_Score,CVSS_Severity,Grype_Severity,Dep_Type,Depth,Occurrences,Ecosystem,Action,Risk_Level
CVE-2025-1148,binutils,2.40-2,unknown,3.1,LOW,none,os-level,None,0,debian,"INVESTIGATE — already on latest version, CVE may be unpatched",medium
CVE-2010-4756,libc-bin,2.36-9+deb12u13,unknown,None,,none,os-level,None,0,debian,"INVESTIGATE — already on latest version, CVE may be unpatched",medium
GHSA-34x7-hfp2-rc4v,tar,6.2.1,7.5.7,None,HIGH,high,unknown,None,0,npm,"UPGRADE — update from 6.2.1 to 7.5.7",low
CVE-2025-1147,binutils,2.40-2,unknown,3.1,LOW,none,os-level,None,0,debian,"INVESTIGATE — already on latest version, CVE may be unpatched",medium
CVE-2018-9996,binutils,2.40-2,unknown,5.5,MEDIUM,none,os-level,None,0,debian,"INVESTIGATE — already on latest version, CVE may be unpatched",medium
CVE-2025-14819,curl,7.88.1-10+deb12u14,unknown,5.3,MEDIUM,medium,os-level,None,0,debian,"INVESTIGATE — already on latest version, CVE may be unpatched",medium
CVE-2025-1178,binutils,2.40-2,unknown,5.6,MEDIUM,none,os-level,None,0,debian,"INVESTIGATE — already on latest version, CVE may be unpatched",medium
CVE-2025-1176,binutils,2.40-2,unknown,5.0,MEDIUM,none,os-level,None,0,debian,"INVESTIGATE — already on latest version, CVE may be unpatched",medium
CVE-2025-1179,binutils,2.40-2,unknown,5.0,MEDIUM,none,os-level,None,0,debian,"INVESTIGATE — already on latest version, CVE may be unpatched",medium
GHSA-73rr-hh4g-fpgx,diff,5.2.0,8.0.3,None,LOW,low,unknown,None,0,npm,"UPGRADE — update from 5.2.0 to 8.0.3",low
CVE-2019-1010023,libc-bin,2.36-9+deb12u13,unknown,5.4,MEDIUM,none,os-level,None,0,debian,"INVESTIGATE — already on latest version, CVE may be unpatched",medium
CVE-2025-1182,binutils,2.40-2,unknown,5.0,MEDIUM,none,os-level,None,0,debian,"INVESTIGATE — already on latest version, CVE may be unpatched",medium
CVE-2024-10041,libpam-modules,1.5.2-6+deb12u2,unknown,4.7,MEDIUM,medium,os-level,None,0,debian,"INVESTIGATE — already on latest version, CVE may be unpatched",medium
CVE-2025-1180,binutils,2.40-2,unknown,3.1,LOW,none,os-level,None,0,debian,"INVESTIGATE — already on latest version, CVE may be unpatched",medium
CVE-2007-5686,login,1:4.13+dfsg1-1+deb12u2,unknown,None,,none,os-level,None,0,debian,"INVESTIGATE — already on latest version, CVE may be unpatched",medium
CVE-2026-22695,libpng16-16,1.6.39-2+deb12u1,unknown,6.1,MEDIUM,high,os-level,None,0,debian,"INVESTIGATE — already on latest version, CVE may be unpatched",medium
CVE-2020-36325,libjansson4,2.14-2,unknown,7.5,HIGH,none,os-level,None,0,debian,"INVESTIGATE — already on latest version, CVE may be unpatched",medium
GHSA-r6q2-hw4h-h46w,tar,6.2.1,7.5.7,None,HIGH,high,unknown,None,0,npm,"UPGRADE — update from 6.2.1 to 7.5.7",low
CVE-2025-30258,gpgv,2.2.40-1.1+deb12u2,unknown,2.7,LOW,medium,os-level,None,0,debian,"INVESTIGATE — already on latest version, CVE may be unpatched",medium
CVE-2026-0861,libc-bin,2.36-9+deb12u13,unknown,8.4,HIGH,high,os-level,None,0,debian,"INVESTIGATE — already on latest version, CVE may be unpatched",medium
CVE-2017-13716,binutils,2.40-2,unknown,5.5,MEDIUM,none,os-level,None,0,debian,"INVESTIGATE — already on latest version, CVE may be unpatched",medium
CVE-2021-4214,libpng16-16,1.6.39-2+deb12u1,unknown,5.5,MEDIUM,none,os-level,None,0,debian,"INVESTIGATE — already on latest version, CVE may be unpatched",medium
CVE-2024-2236,libgcrypt20,1.10.1-3,unknown,5.9,MEDIUM,none,os-level,None,0,debian,"INVESTIGATE — already on latest version, CVE may be unpatched",medium
CVE-2025-14524,curl,7.88.1-10+deb12u14,unknown,5.3,MEDIUM,medium,os-level,None,0,debian,"INVESTIGATE — already on latest version, CVE may be unpatched",medium
CVE-2020-15719,libldap-2.5-0,2.5.13+dfsg-5,unknown,4.2,MEDIUM,none,os-level,None,0,debian,"INVESTIGATE — already on latest version, CVE may be unpatched",medium
CVE-2026-22801,libpng16-16,1.6.39-2+deb12u1,unknown,6.8,MEDIUM,high,os-level,None,0,debian,"INVESTIGATE — already on latest version, CVE may be unpatched",medium
CVE-2024-26458,krb5-locales,1.20.1-2+deb12u4,unknown,5.3,MEDIUM,none,os-level,None,0,debian,"INVESTIGATE — already on latest version, CVE may be unpatched",medium
CVE-2024-2379,curl,7.88.1-10+deb12u14,unknown,6.3,MEDIUM,none,os-level,None,0,debian,"INVESTIGATE — already on latest version, CVE may be unpatched",medium
CVE-2011-4116,perl-base,5.36.0-7+deb12u3,unknown,3.3,LOW,none,os-level,None,0,debian,"INVESTIGATE — already on latest version, CVE may be unpatched",medium
