CVE_ID,Package,Current_Version,Latest_Version,CVSS_Score,CVSS_Severity,Grype_Severity,Dep_Type,Depth,Occurrences,Ecosystem,Action,Risk_Level
GHSA-9wv6-86v2-598j,path-to-regexp,0.1.7,8.3.0,None,HIGH,high,transitive,4,1,npm,"UPGRADE — update from 0.1.7 to 8.3.0",low
CVE-2020-25664,imagemagick,8:6.9.10.23+dfsg-2.1+deb10u1,unknown,6.1,MEDIUM,medium,os-level,None,0,debian,"INVESTIGATE — already on latest version, CVE may be unpatched",medium
CVE-2022-29187,git,1:2.20.1-2+deb10u3,unknown,7.8,HIGH,high,os-level,None,0,debian,"INVESTIGATE — already on latest version, CVE may be unpatched",medium
CVE-2019-18934,libunbound8,1.9.0-2+deb10u2,unknown,7.3,HIGH,none,os-level,None,0,debian,"INVESTIGATE — already on latest version, CVE may be unpatched",medium
GHSA-5gfm-wpxj-wjgq,node-forge,0.10.0,1.3.3,None,HIGH,high,transitive,4,1,npm,"UPGRADE — update from 0.10.0 to 1.3.3",low
CVE-2025-59465,node,16.0.0,unknown,7.5,HIGH,high,unknown,None,0,unknown,"INVESTIGATE — already on latest version, CVE may be unpatched",medium
CVE-2024-26461,krb5-multidev,1.17-3+deb10u1,unknown,7.5,HIGH,high,os-level,None,0,debian,"INVESTIGATE — already on latest version, CVE may be unpatched",medium
CVE-2021-36410,libde265-0,1.0.3-1+b1,unknown,5.5,MEDIUM,medium,os-level,None,0,debian,"INVESTIGATE — already on latest version, CVE may be unpatched",medium
CVE-2022-47665,libde265-0,1.0.3-1+b1,unknown,7.8,HIGH,high,os-level,None,0,debian,"INVESTIGATE — already on latest version, CVE may be unpatched",medium
GHSA-f7q4-pwc6-w24p,elliptic,6.5.4,6.6.1,None,LOW,low,transitive,6,2,npm,"UPGRADE — update from 6.5.4 to 6.6.1",low
CVE-2023-23920,node,16.0.0,unknown,4.2,MEDIUM,medium,unknown,None,0,unknown,"INVESTIGATE — already on latest version, CVE may be unpatched",medium
CVE-2018-15607,imagemagick,8:6.9.10.23+dfsg-2.1+deb10u1,unknown,6.5,MEDIUM,none,os-level,None,0,debian,"INVESTIGATE — already on latest version, CVE may be unpatched",medium
GHSA-pxg6-pf52-xh8x,cookie,0.3.1,1.1.1,None,LOW,low,transitive,4,2,npm,"UPGRADE — update from 0.3.1 to 1.1.1",low
CVE-2023-29659,libheif1,1.3.2-2~deb10u1,unknown,6.5,MEDIUM,medium,os-level,None,0,debian,"INVESTIGATE — already on latest version, CVE may be unpatched",medium
CVE-2022-24051,libmariadb-dev,1:10.3.27-0+deb10u1,unknown,7.8,HIGH,high,os-level,None,0,debian,"INVESTIGATE — already on latest version, CVE may be unpatched",medium
CVE-2023-25193,libharfbuzz0b,2.3.1-1,unknown,7.5,HIGH,high,os-level,None,0,debian,"INVESTIGATE — already on latest version, CVE may be unpatched",medium
CVE-2024-28757,libexpat1,2.2.6-2+deb10u1,unknown,7.5,HIGH,none,os-level,None,0,debian,"INVESTIGATE — already on latest version, CVE may be unpatched",medium
CVE-2022-0924,libtiff-dev,4.1.0+git191117-2~deb10u2,unknown,5.5,MEDIUM,medium,os-level,None,0,debian,"INVESTIGATE — already on latest version, CVE may be unpatched",medium
CVE-2023-43786,libx11-6,2:1.6.7-1+deb10u1,unknown,5.5,MEDIUM,medium,os-level,None,0,debian,"INVESTIGATE — already on latest version, CVE may be unpatched",medium
CVE-2024-22365,libpam-modules,1.3.1-5,unknown,5.5,MEDIUM,medium,os-level,None,0,debian,"INVESTIGATE — already on latest version, CVE may be unpatched",medium
