CVE_ID,Package,Current_Version,Latest_Version,CVSS_Score,CVSS_Severity,Grype_Severity,Dep_Type,Depth,Occurrences,Ecosystem,Action,Risk_Level
GHSA-65ch-62r8-g69g,node-forge,1.3.1,1.3.3,None,MEDIUM,medium,unknown,None,0,npm,"UPGRADE — update from 1.3.1 to 1.3.3",low
GHSA-52f5-9888-hmc6,tmp,0.0.33,0.2.5,None,LOW,low,unknown,None,0,npm,"UPGRADE — update from 0.0.33 to 0.2.5",low
CVE-2025-14819,curl,8.17.0-r1,unknown,5.3,MEDIUM,medium,unknown,None,0,alpine,"INVESTIGATE — already on latest version, CVE may be unpatched",medium
GHSA-34x7-hfp2-rc4v,tar,6.2.1,7.5.7,None,HIGH,high,unknown,None,0,npm,"UPGRADE — update from 6.2.1 to 7.5.7",low
GHSA-9jgg-88mc-972h,webpack-dev-server,4.15.2,5.2.3,None,MEDIUM,medium,unknown,None,0,npm,"UPGRADE — update from 4.15.2 to 5.2.3",low
GHSA-9jcx-v3wj-wh4m,react-router,6.30.1,7.13.0,None,MEDIUM,medium,unknown,None,0,npm,"UPGRADE — update from 6.30.1 to 7.13.0",low
CVE-2025-15224,curl,8.17.0-r1,unknown,3.1,LOW,low,unknown,None,0,alpine,"INVESTIGATE — already on latest version, CVE may be unpatched",medium
GHSA-73rr-hh4g-fpgx,diff,4.0.2,8.0.3,None,LOW,low,unknown,None,0,npm,"UPGRADE — update from 4.0.2 to 8.0.3",low
GHSA-r6q2-hw4h-h46w,tar,6.2.1,7.5.7,None,HIGH,high,unknown,None,0,npm,"UPGRADE — update from 6.2.1 to 7.5.7",low
CVE-2025-13034,curl,8.17.0-r1,unknown,5.9,MEDIUM,medium,unknown,None,0,alpine,"INVESTIGATE — already on latest version, CVE may be unpatched",medium
CVE-2025-14524,curl,8.17.0-r1,unknown,5.3,MEDIUM,medium,unknown,None,0,alpine,"INVESTIGATE — already on latest version, CVE may be unpatched",medium
CVE-2025-15079,curl,8.17.0-r1,unknown,5.3,MEDIUM,medium,unknown,None,0,alpine,"INVESTIGATE — already on latest version, CVE may be unpatched",medium
GHSA-mh29-5h37-fv8m,js-yaml,3.14.1,4.1.1,None,MEDIUM,medium,unknown,None,0,npm,"UPGRADE — update from 3.14.1 to 4.1.1",low
GHSA-2w69-qvjg-hvjx,@remix-run/router,1.23.0,1.23.2,None,HIGH,high,unknown,None,0,npm,"UPGRADE — update from 1.23.0 to 1.23.2",low
GHSA-g9mf-h72j-4rw9,undici,6.19.8,7.21.0,None,MEDIUM,medium,unknown,None,0,npm,"UPGRADE — update from 6.19.8 to 7.21.0",low
GHSA-8qq5-rm4j-mr97,tar,6.2.1,7.5.7,None,HIGH,high,unknown,None,0,npm,"UPGRADE — update from 6.2.1 to 7.5.7",low
GHSA-869p-cjfg-cm3x,jws,3.2.2,4.0.1,None,HIGH,high,unknown,None,0,npm,"UPGRADE — update from 3.2.2 to 4.0.1",low
GHSA-v6h2-p8h4-qcjw,brace-expansion,1.1.11,4.0.1,None,LOW,low,unknown,None,0,npm,"UPGRADE — update from 1.1.11 to 4.0.1",low
CVE-2025-14017,curl,8.17.0-r1,unknown,6.3,MEDIUM,medium,unknown,None,0,alpine,"INVESTIGATE — already on latest version, CVE may be unpatched",medium
GHSA-38r7-794h-5758,webpack,5.94.0,5.105.0,None,LOW,low,unknown,None,0,npm,"UPGRADE — update from 5.94.0 to 5.105.0",low
GHSA-8fgc-7cc6-rx7x,webpack,5.94.0,5.105.0,None,LOW,low,unknown,None,0,npm,"UPGRADE — update from 5.94.0 to 5.105.0",low
GHSA-76c9-3jph-rj3q,on-headers,1.0.2,1.1.0,None,LOW,low,unknown,None,0,npm,"UPGRADE — update from 1.0.2 to 1.1.0",low
GHSA-2jcg-qqmg-46q6,monorepo-symlink-test,0.0.0,0.0.1-security,None,CRITICAL,critical,unknown,None,0,npm,"UPGRADE — update from 0.0.0 to 0.0.1-security",low
GHSA-43fc-jf86-j433,axios,1.12.2,1.13.5,None,HIGH,high,unknown,None,0,npm,"UPGRADE — update from 1.12.2 to 1.13.5",low
CVE-2022-37601,loader-utils,<1.4.1,3.3.1,None,CRITICAL,critical,unknown,None,0,npm,"UPGRADE — fix available per npm audit",medium
CVE-2022-37603,loader-utils,>=1.0.0 <1.4.2,3.3.1,None,HIGH,high,unknown,None,0,npm,"UPGRADE — fix available per npm audit",medium
